index,父微博用户ID,count,total,percent,followers,root,CphsI
3.0,241c189090dfcfcca8569b3c450166c7,28,1709,1.6383850204798127,494,768c8145171a276365164af3bd2b94c3,1.3058752271350695
1.0,60c751318f4cf2adf7c870a1cf2ce0e8,577,1628,35.442260442260434,2052,60c751318f4cf2adf7c870a1cf2ce0e8,63.61587078651686
2.0,0718603c176da086c69dc07966d46180,226,1628,13.882063882063882,2531,60c751318f4cf2adf7c870a1cf2ce0e8,24.917134831460675
3.0,bd3daa1b89b3c1e12d460b19bf2a9e10,102,1628,6.2653562653562656,1657,60c751318f4cf2adf7c870a1cf2ce0e8,11.245786516853933
4.0,d462d66b8042ad8af59c9b1ab7cffa1a,81,1628,4.975429975429975,1079,60c751318f4cf2adf7c870a1cf2ce0e8,8.930477528089888
5.0,4598896a47797f8bcb161aa4b3c9065f,68,1628,4.176904176904176,184,60c751318f4cf2adf7c870a1cf2ce0e8,7.497191011235955
6.0,ecd350325dde0a7dd19804fb422d01d2,26,1628,1.597051597051597,525,60c751318f4cf2adf7c870a1cf2ce0e8,2.866573033707865
7.0,421341f58cb2a4134854626f236a2179,25,1628,1.5356265356265355,243,60c751318f4cf2adf7c870a1cf2ce0e8,2.756320224719101
8.0,260dbe5a11f2b0736ada34eff2f830b6,20,1628,1.2285012285012284,107,60c751318f4cf2adf7c870a1cf2ce0e8,2.205056179775281
9.0,bf3618aa94a7c1191cc28ef4ba74a7c5,17,1628,1.0442260442260445,157,60c751318f4cf2adf7c870a1cf2ce0e8,1.8742977528089888
10.0,5e3209e7cd9f4f0b7ff9d51c3ee87069,17,1628,1.0442260442260445,98,60c751318f4cf2adf7c870a1cf2ce0e8,1.8742977528089888
11.0,8fc12b0c1e5eca4314b5fe682ccb7089,15,1628,0.9213759213759214,88,60c751318f4cf2adf7c870a1cf2ce0e8,1.6537921348314608
12.0,ce96254fb848d66f2032b408f8bbf9ad,14,1628,0.85995085995086,73,60c751318f4cf2adf7c870a1cf2ce0e8,1.5435393258426966
13.0,58056dc90f0ec3e66571a2829b5d6a1e,10,1628,0.6142506142506142,61,60c751318f4cf2adf7c870a1cf2ce0e8,1.1025280898876404
1.0,318fc95107fd4ff003a3167940091152,4121,5648,72.96388101983003,29574,318fc95107fd4ff003a3167940091152,168.6034703196347
2.0,1c2facd59cff30780a9061551a37737e,529,5648,9.36614730878187,9592,318fc95107fd4ff003a3167940091152,21.64310502283105
3.0,cc6f1f8154906f716b10c87135e7d3a8,150,5648,2.655807365439093,7993,318fc95107fd4ff003a3167940091152,6.136986301369864
4.0,7bf66fad923faccb45ed31c00eeb2e70,77,5648,1.363314447592068,1694,318fc95107fd4ff003a3167940091152,3.1503196347031963
5.0,d570d7cf1bca056e3d202b615c4dc4f6,77,5648,1.363314447592068,2331,318fc95107fd4ff003a3167940091152,3.1503196347031963
6.0,d02fe5ae9d34938a89bf00eb4b457152,45,5648,0.796742209631728,1197,318fc95107fd4ff003a3167940091152,1.841095890410959
7.0,8399687ce4901b4a49a55505236b82dd,32,5648,0.56657223796034,14,318fc95107fd4ff003a3167940091152,1.3092237442922374
1.0,c7d207133d5343995b0e98e22a6edc7d,4190,4562,91.8456817185445,9525,c7d207133d5343995b0e98e22a6edc7d,105.2669358456707
1.0,03e1002b3e6a2a4d9d1f110232da0088,6494,6719,96.65128739395745,1370,03e1002b3e6a2a4d9d1f110232da0088,70.34271099744245
1.0,cf2a4b8fa6ffc9ca1f219fd19933f2cf,1476,4160,35.480769230769226,21,481936e8d71dd32f76ec019580652bed,1.5819935691318328
2.0,4ca5b168e2bf5c633626802830fd0ea2,1317,4160,31.65865384615385,51,481936e8d71dd32f76ec019580652bed,1.4115755627009647
1.0,76bff4a214153e162c98d7ff7d7f9e06,2500,4961,50.39306591413022,3918,76bff4a214153e162c98d7ff7d7f9e06,147.75280898876403
2.0,b672fadcb306797bbba44cae1ecf5765,364,4961,7.3372303970973585,2253,76bff4a214153e162c98d7ff7d7f9e06,21.512808988764046
3.0,217a7740a38412db4525c1cfb44ff5ca,354,4961,7.135658133440838,2555,76bff4a214153e162c98d7ff7d7f9e06,20.92179775280899
4.0,1bdb96a290cbd7b357605eccf4f2d27e,159,4961,3.2049989921386817,982,76bff4a214153e162c98d7ff7d7f9e06,9.397078651685392
5.0,c4daf0e54d59ef196ea94c9a682209a4,120,4961,2.41886716387825,1719,76bff4a214153e162c98d7ff7d7f9e06,7.092134831460674
6.0,8d114e5a8f8bb3c4250d10ca4d40772d,95,4961,1.9149365047369482,2148,76bff4a214153e162c98d7ff7d7f9e06,5.614606741573033
7.0,e866f5c5af1be3c112c94f9a479827bf,89,4961,1.7939931465430357,143,76bff4a214153e162c98d7ff7d7f9e06,5.26
8.0,4472dd0f57eca1eaf4a12761cf586c61,70,4961,1.411005845595646,1191,76bff4a214153e162c98d7ff7d7f9e06,4.1370786516853935
9.0,291fe5cd9999a9c68cd4ea780d1ff5af,42,4961,0.8466035073573877,189,76bff4a214153e162c98d7ff7d7f9e06,2.482247191011236
10.0,800aebd10aa859549712af7faa264bed,36,4961,0.7256601491634751,86,76bff4a214153e162c98d7ff7d7f9e06,2.127640449438202
11.0,1d90b148ffc0cd15321f35b0563ce28c,29,4961,0.5845595646039105,504,76bff4a214153e162c98d7ff7d7f9e06,1.7139325842696629
12.0,64f8f1aca6b5e1c9ea5d3f102295ac0e,29,4961,0.5845595646039105,55,76bff4a214153e162c98d7ff7d7f9e06,1.7139325842696629
13.0,d16d80d9e2bdc90955cb80a50746ae81,26,4961,0.5240878855069543,491,76bff4a214153e162c98d7ff7d7f9e06,1.536629213483146
14.0,be4f164289ab97d3390248a3746a53a8,23,4961,0.463616206409998,31,76bff4a214153e162c98d7ff7d7f9e06,1.3593258426966293
15.0,75225b24867d292f5063aa42166cf75d,20,4961,0.4031445273130417,73,76bff4a214153e162c98d7ff7d7f9e06,1.1820224719101124
16.0,710b020052c85bcbc3891b54d01b3c3e,18,4961,0.3628300745817376,136,76bff4a214153e162c98d7ff7d7f9e06,1.063820224719101
17.0,18f4e34224a20af15748c656c06533cd,17,4961,0.34267284821608546,217,76bff4a214153e162c98d7ff7d7f9e06,1.0047191011235954
18.0,28d62427df4984479a7dbcb0bb3ef7ee,17,4961,0.34267284821608546,112,76bff4a214153e162c98d7ff7d7f9e06,1.0047191011235954
1.0,1ccd36b5a88b0641491e8e315cc889cd,4183,4260,98.1924882629108,260,1ccd36b5a88b0641491e8e315cc889cd,44.42648100070805
1.0,12d856f800dc42c4c5229b99cbeb4053,6226,8200,75.92682926829268,1289,12d856f800dc42c4c5229b99cbeb4053,209.92724046140194
2.0,c5b0c6257c846681c0162507831bdf0f,280,8200,3.414634146341464,3246,12d856f800dc42c4c5229b99cbeb4053,9.440993788819876
3.0,bc6f6d19d2a9eca5a8720caca4e07908,252,8200,3.0731707317073167,877,12d856f800dc42c4c5229b99cbeb4053,8.496894409937887
4.0,13dfba43de47dbcd2a07e01950c1e00d,220,8200,2.6829268292682933,3652,12d856f800dc42c4c5229b99cbeb4053,7.417923691215616
5.0,e61671ae6229fd2e329abffb1fab99a3,172,8200,2.097560975609756,1999,12d856f800dc42c4c5229b99cbeb4053,5.799467613132209
6.0,bdf80da5bad06006922252bf8df23f2b,128,8200,1.5609756097560976,1068,12d856f800dc42c4c5229b99cbeb4053,4.315882874889086
7.0,900ec2f4d62f774b7c62295d44a96cdf,80,8200,0.975609756097561,662,12d856f800dc42c4c5229b99cbeb4053,2.697426796805679
8.0,030e7716671a76d35daef80682dc8766,53,8200,0.6463414634146342,1155,12d856f800dc42c4c5229b99cbeb4053,1.7870452528837621
9.0,e36127e1d3fff51c63a84354a7e9a193,34,8200,0.4146341463414634,570,12d856f800dc42c4c5229b99cbeb4053,1.1464063886424134
1.0,013be8a44f35b9368f36715b053aa990,8317,8390,99.12991656734206,736,013be8a44f35b9368f36715b053aa990,13.884808013355592
1.0,df319c996508d16f19cc687aa7e19a83,1293,3912,33.0521472392638,403,df319c996508d16f19cc687aa7e19a83,134.5507614213198
2.0,ddbc3da8202cb48e0fe05de6a5b32090,201,3912,5.138036809815951,1524,df319c996508d16f19cc687aa7e19a83,20.916243654822335
3.0,2a72d278ae183f70cee992bd6102dd61,161,3912,4.115541922290388,3367,df319c996508d16f19cc687aa7e19a83,16.753807106598984
4.0,da403415766cebfe1d141e80a13ee820,161,3912,4.115541922290388,1993,df319c996508d16f19cc687aa7e19a83,16.753807106598984
5.0,3af9463319ed7385f1a1fdf0399b432e,129,3912,3.2975460122699385,659,df319c996508d16f19cc687aa7e19a83,13.423857868020304
6.0,d462d66b8042ad8af59c9b1ab7cffa1a,107,3912,2.735173824130879,1079,df319c996508d16f19cc687aa7e19a83,11.134517766497462
7.0,93266b2d3675b4511327b09423131c67,83,3912,2.1216768916155417,42,df319c996508d16f19cc687aa7e19a83,8.637055837563452
8.0,77d694ff1856c42c3242a2e5d85a002f,80,3912,2.044989775051125,352,df319c996508d16f19cc687aa7e19a83,8.324873096446701
9.0,d7d125f9605eb875d04cb2940202b7c7,68,3912,1.738241308793456,407,df319c996508d16f19cc687aa7e19a83,7.0761421319796955
10.0,e51bbe8471fbf05507c47d2f746a7cd3,61,3912,1.5593047034764826,493,df319c996508d16f19cc687aa7e19a83,6.34771573604061
11.0,6d95e97915e780cbfb466933382150f6,58,3912,1.4826175869120657,537,df319c996508d16f19cc687aa7e19a83,6.035532994923858
12.0,a7dd07d3655174cb41e7c95d503a1a5c,46,3912,1.1758691206543967,595,df319c996508d16f19cc687aa7e19a83,4.786802030456853
13.0,b1bf8e72bfaa33d608dc77a7c93fd397,42,3912,1.0736196319018405,563,df319c996508d16f19cc687aa7e19a83,4.370558375634518
14.0,3b9355df6a2f443bf33c18ba4f86c495,30,3912,0.7668711656441718,142,df319c996508d16f19cc687aa7e19a83,3.1218274111675126
15.0,421341f58cb2a4134854626f236a2179,27,3912,0.6901840490797546,243,df319c996508d16f19cc687aa7e19a83,2.8096446700507616
16.0,e010f9bc988eae84eb5b7440317d8d8c,26,3912,0.6646216768916156,162,df319c996508d16f19cc687aa7e19a83,2.705583756345178
17.0,d4f6820145d36bb575d092967103e654,23,3912,0.5879345603271984,185,df319c996508d16f19cc687aa7e19a83,2.3934010152284264
18.0,fe2190acce7e7067021687b395df8d73,20,3912,0.5112474437627812,310,df319c996508d16f19cc687aa7e19a83,2.0812182741116754
19.0,8fa0335c093c54eb2595dffd97c0f9eb,18,3912,0.4601226993865031,23,df319c996508d16f19cc687aa7e19a83,1.8730964467005078
20.0,2b7d152714e94ed57c5f0db22dfe0dd8,14,3912,0.35787321063394684,141,df319c996508d16f19cc687aa7e19a83,1.4568527918781726
21.0,c624442e988e269a86751340c0bd9e2e,10,3912,0.2556237218813906,458,df319c996508d16f19cc687aa7e19a83,1.0406091370558377
22.0,455a93da479a725261b987d690ef6bd8,10,3912,0.2556237218813906,137,df319c996508d16f19cc687aa7e19a83,1.0406091370558377
1.0,eaf6d21b853f1cbdeb12a23f5c4fee18,1794,2021,88.76793666501732,5405,eaf6d21b853f1cbdeb12a23f5c4fee18,53.566265060240966
1.0,bb315eee2c36d6bfe63036559625c98b,2015,2127,94.73436765397273,503,bb315eee2c36d6bfe63036559625c98b,21.34328358208955
1.0,8920a3b5f03b8f613873eea3b61a1c93,1686,1691,99.70431697220579,873,8920a3b5f03b8f613873eea3b61a1c93,2.996445497630332
1.0,318fc95107fd4ff003a3167940091152,3095,3258,94.99693063228978,29574,318fc95107fd4ff003a3167940091152,31.3715552739943
1.0,bd996818a67dad91fc0fb67fe78a6bc3,2392,3306,72.35329703569269,185,bd996818a67dad91fc0fb67fe78a6bc3,114.18540190945488
2.0,15b621ce165a15a31d58731867c445ac,360,3306,10.88929219600726,1985,bd996818a67dad91fc0fb67fe78a6bc3,17.1850939328611
3.0,6f8274355a16ba11c4871e90e601125b,74,3306,2.2383545069570485,680,bd996818a67dad91fc0fb67fe78a6bc3,3.532491530643671
4.0,291fe5cd9999a9c68cd4ea780d1ff5af,34,3306,1.02843315184513,189,bd996818a67dad91fc0fb67fe78a6bc3,1.6230366492146597
5.0,800aebd10aa859549712af7faa264bed,32,3306,0.9679370840895342,86,bd996818a67dad91fc0fb67fe78a6bc3,1.527563905143209
6.0,e358a266d565a54c065fe42091960951,31,3306,0.9376890502117362,471,bd996818a67dad91fc0fb67fe78a6bc3,1.4798275331074837
7.0,0ecfb78997a9f4b7e89082e99df419a9,30,3306,0.9074410163339384,397,bd996818a67dad91fc0fb67fe78a6bc3,1.4320911610717586
8.0,572c8ea89aab5ed2cd126945597b9bd6,24,3306,0.7259528130671506,123,bd996818a67dad91fc0fb67fe78a6bc3,1.1456729288574068
1.0,407ca48f6b41117e98fb675a8af44261,3259,3356,97.10965435041716,2573,407ca48f6b41117e98fb675a8af44261,40.12582582582583
1.0,a52c51402a6f2f708767e38a351e2d00,2276,3859,58.979010106245134,1549,a52c51402a6f2f708767e38a351e2d00,148.92571735049611
2.0,a910804dcbc2f02ce0de7de89055620e,459,3859,11.894273127753305,5924,a52c51402a6f2f708767e38a351e2d00,30.033789219629927
3.0,7918251d2acf470a8dcdf36f55b94329,191,3859,4.949468774293859,1774,a52c51402a6f2f708767e38a351e2d00,12.497720568517028
4.0,315b1004bdaec82614b43a087d1a3d47,73,3859,1.8916817828452968,297,a52c51402a6f2f708767e38a351e2d00,4.776615714668812
5.0,716c769bb6d6aaf78ebb95a7ebab582d,40,3859,1.0365379632029024,725,a52c51402a6f2f708767e38a351e2d00,2.617323679270582
6.0,384e6364e5682f016694d2bb2d0a18af,32,3859,0.8292303705623219,774,a52c51402a6f2f708767e38a351e2d00,2.0938589434164654
7.0,f38cb47fb0fdbeaf73da4bf23eb869b7,30,3859,0.7774034724021768,443,a52c51402a6f2f708767e38a351e2d00,1.9629927594529364
8.0,9fe79d7d96788a264c02ca3d9f018c8e,29,3859,0.7514900233221041,799,a52c51402a6f2f708767e38a351e2d00,1.8975596674711719
9.0,b6e425775fc670efa502b8f49952c5fc,29,3859,0.7514900233221041,394,a52c51402a6f2f708767e38a351e2d00,1.8975596674711719
10.0,3ac62331c13539bd2445e4797c704e3d,27,3859,0.6996631251619589,294,a52c51402a6f2f708767e38a351e2d00,1.7666934835076429
11.0,7fb22e9f92a9af0dbd65e2913608148a,27,3859,0.6996631251619589,371,a52c51402a6f2f708767e38a351e2d00,1.7666934835076429
12.0,a034cd07bef17b080e02323c58340381,26,3859,0.6737496760818865,863,a52c51402a6f2f708767e38a351e2d00,1.7012603915258784
13.0,3f50ea63658117548c577f042c5c1774,21,3859,0.5441824306815237,116,a52c51402a6f2f708767e38a351e2d00,1.3740949316170556
14.0,c6a51351b972b5499dced3b1dec07927,21,3859,0.5441824306815237,493,a52c51402a6f2f708767e38a351e2d00,1.3740949316170556
15.0,90741da9d13f345755f2312dab12a94e,17,3859,0.4405286343612335,1120,a52c51402a6f2f708767e38a351e2d00,1.1123625636899974
16.0,5dd5daff5f842fc34c2af968efa64211,16,3859,0.4146151852811609,211,a52c51402a6f2f708767e38a351e2d00,1.0469294717082327
1.0,6c87a723ba495b516ccc5131f7737f98,477,1413,33.75796178343949,11750,6c87a723ba495b516ccc5131f7737f98,41.11306765523633
2.0,723ac18cb30b88a9a84748ed619d7ac8,119,1413,8.421797593772116,721,6c87a723ba495b516ccc5131f7737f98,10.256719184430029
