父微博用户ID,count,total,percent,followers,root,TimeDIST,NetDIST
421341f58cb2a4134854626f236a2179,25,1628,1.5356265356265355,243,60c751318f4cf2adf7c870a1cf2ce0e8,3,1
f8fcf75e00eedd3cb08e4e34b08e019c,25,2782,0.8986340762041697,803,a8d101c2085a3ac58d9cb1029c7d6bc2,1231,4
91c0757c84405b71a49354f2193b53e0,25,7914,0.31589588071771546,92,c7af761e0f90995b5a9a0827276f0512,209,1
694a10534bd055365d87958e132de9dc,25,7914,0.31589588071771546,547,c7af761e0f90995b5a9a0827276f0512,31,7
e010f9bc988eae84eb5b7440317d8d8c,26,3912,0.6646216768916156,162,df319c996508d16f19cc687aa7e19a83,11,2
d16d80d9e2bdc90955cb80a50746ae81,26,4961,0.5240878855069543,491,76bff4a214153e162c98d7ff7d7f9e06,123,4
ecd350325dde0a7dd19804fb422d01d2,26,1628,1.597051597051597,525,60c751318f4cf2adf7c870a1cf2ce0e8,71,5
a034cd07bef17b080e02323c58340381,26,3859,0.6737496760818865,863,a52c51402a6f2f708767e38a351e2d00,236,1
7fb22e9f92a9af0dbd65e2913608148a,27,3859,0.6996631251619589,371,a52c51402a6f2f708767e38a351e2d00,175,1
3ac62331c13539bd2445e4797c704e3d,27,3859,0.6996631251619589,294,a52c51402a6f2f708767e38a351e2d00,171,2
0641ed991795a40fa273f227b071a216,27,4747,0.5687802822835475,291,59201a4cb94b46ae9ef8a16b9cdec55e,853,1
421341f58cb2a4134854626f236a2179,27,3912,0.6901840490797546,243,df319c996508d16f19cc687aa7e19a83,10,2
3a3992c9294db76c9b129bb6f867ebe1,28,6652,0.4209260372820205,169,14baec16e62afaf8aac187f828122d21,948,11
241c189090dfcfcca8569b3c450166c7,28,1709,1.6383850204798127,494,768c8145171a276365164af3bd2b94c3,190,1
b6e425775fc670efa502b8f49952c5fc,29,3859,0.7514900233221041,394,a52c51402a6f2f708767e38a351e2d00,311,3
1d90b148ffc0cd15321f35b0563ce28c,29,4961,0.5845595646039105,504,76bff4a214153e162c98d7ff7d7f9e06,196,2
e885a188ab7609c93d98142758e58c47,29,7914,0.3664392216325499,83,c7af761e0f90995b5a9a0827276f0512,83,4
47a449af51bec35db6a43c33a788e8fe,29,6652,0.4359591100420926,233,14baec16e62afaf8aac187f828122d21,941,3
9fe79d7d96788a264c02ca3d9f018c8e,29,3859,0.7514900233221041,799,a52c51402a6f2f708767e38a351e2d00,42,1
fc90977dc07f74598122c786c439bbff,29,7914,0.3664392216325499,695,c7af761e0f90995b5a9a0827276f0512,229,2
64f8f1aca6b5e1c9ea5d3f102295ac0e,29,4961,0.5845595646039105,55,76bff4a214153e162c98d7ff7d7f9e06,53,1
f38cb47fb0fdbeaf73da4bf23eb869b7,30,3859,0.7774034724021768,443,a52c51402a6f2f708767e38a351e2d00,160,2
0ecfb78997a9f4b7e89082e99df419a9,30,3306,0.9074410163339384,397,bd996818a67dad91fc0fb67fe78a6bc3,1082,1
3b9355df6a2f443bf33c18ba4f86c495,30,3912,0.7668711656441718,142,df319c996508d16f19cc687aa7e19a83,38,4
6e15f1bb4153d5761b721f261f0699e4,30,4747,0.6319780914261639,177,59201a4cb94b46ae9ef8a16b9cdec55e,76,4
e358a266d565a54c065fe42091960951,31,3306,0.9376890502117362,471,bd996818a67dad91fc0fb67fe78a6bc3,172,3
be351e2955488c82a832d5ef9c10b3cd,31,2782,1.1143062544931703,114,a8d101c2085a3ac58d9cb1029c7d6bc2,42,2
7447c09ce4cadb45552493a902b089ed,31,2782,1.1143062544931703,141,a8d101c2085a3ac58d9cb1029c7d6bc2,100,2
bc7e4edf985d1da649b7e03556a5ac07,31,6221,0.4983121684616621,358,12b3cbaada7f85a5b188488acf0c0623,224,1
731e0e5494614166df82a85ca9e1234a,32,6652,0.4810583283223091,245,14baec16e62afaf8aac187f828122d21,862,3
8399687ce4901b4a49a55505236b82dd,32,5648,0.56657223796034,14,318fc95107fd4ff003a3167940091152,27,2
384e6364e5682f016694d2bb2d0a18af,32,3859,0.8292303705623219,774,a52c51402a6f2f708767e38a351e2d00,639,1
8120df4b18e75c1113b9f25b7050d57d,33,6652,0.4960914010823813,160,14baec16e62afaf8aac187f828122d21,1008,2
