index,父微博用户ID,count,total,percent,followers,root
1.0,c7af761e0f90995b5a9a0827276f0512,2960,7914,37.402072276977506,2079,c7af761e0f90995b5a9a0827276f0512
2.0,c360f812947e14510ff253242e51afae,379,7914,4.788981551680567,4779,c7af761e0f90995b5a9a0827276f0512
3.0,68db5c4507b37034a90d34563e20225f,242,7914,3.057872125347485,2953,c7af761e0f90995b5a9a0827276f0512
4.0,2ac16bf2dbae9635afac69cd1f217340,220,7914,2.7798837503158964,3636,c7af761e0f90995b5a9a0827276f0512
5.0,e44f5031859d309f3353d2874ffa7192,171,7914,2.1607278241091734,2193,c7af761e0f90995b5a9a0827276f0512
6.0,a554ae33e37578d387b1411277333e05,156,7914,1.9711902956785443,1744,c7af761e0f90995b5a9a0827276f0512
7.0,ddacffd27d6eecd0ac02961a72c89af4,148,7914,1.870103613848876,2382,c7af761e0f90995b5a9a0827276f0512
8.0,01b874689f63fbbf1a437efa9a1a31cb,142,7914,1.7942886024766238,3873,c7af761e0f90995b5a9a0827276f0512
9.0,0718603c176da086c69dc07966d46180,138,7914,1.7437452615617892,2531,c7af761e0f90995b5a9a0827276f0512
10.0,ef0c4a6456df38caa08d4a1df614faf6,131,7914,1.6552944149608289,3355,c7af761e0f90995b5a9a0827276f0512
11.0,18a4708426d8bac6532d5f9c04c14eed,121,7914,1.5289360626737427,392,c7af761e0f90995b5a9a0827276f0512
12.0,ef4d7d39f7b3997e79f1179d6fb4074f,114,7914,1.4404852160727823,898,c7af761e0f90995b5a9a0827276f0512
13.0,13dfba43de47dbcd2a07e01950c1e00d,83,7914,1.0487743239828151,3652,c7af761e0f90995b5a9a0827276f0512
14.0,d1d370e2928a4d49a91edf4ced6db431,81,7914,1.023502653525398,1907,c7af761e0f90995b5a9a0827276f0512
15.0,19bdef4efe43dbbcb3e60500748411eb,68,7914,0.8592367955521859,1298,c7af761e0f90995b5a9a0827276f0512
16.0,030e7716671a76d35daef80682dc8766,61,7914,0.7707859489512257,1155,c7af761e0f90995b5a9a0827276f0512
17.0,5f3c189c72bf5a9feaadfb3421054659,60,7914,0.7581501137225171,15,c7af761e0f90995b5a9a0827276f0512
18.0,a1518fbc4d82b37dcf7d2a603d567ad5,50,7914,0.6317917614354309,905,c7af761e0f90995b5a9a0827276f0512
19.0,d9f5bbb77995664d6afee258e73e5da8,43,7914,0.5433409148344706,1298,c7af761e0f90995b5a9a0827276f0512
20.0,cca0c77c6e8d5b3f373b5ad974f3e4f9,42,7914,0.530705079605762,345,c7af761e0f90995b5a9a0827276f0512
21.0,28f7dce3fbe473c4e8bfcf51dda3cc3a,38,7914,0.4801617386909275,89,c7af761e0f90995b5a9a0827276f0512
22.0,95f27391d531f5c81412213294304065,35,7914,0.4422542330048016,1364,c7af761e0f90995b5a9a0827276f0512
23.0,3946b2e1829cee6dc19464d3b2064df4,33,7914,0.4169825625473844,983,c7af761e0f90995b5a9a0827276f0512
24.0,d7d125f9605eb875d04cb2940202b7c7,33,7914,0.4169825625473844,407,c7af761e0f90995b5a9a0827276f0512
25.0,fc90977dc07f74598122c786c439bbff,29,7914,0.3664392216325499,695,c7af761e0f90995b5a9a0827276f0512
26.0,e885a188ab7609c93d98142758e58c47,29,7914,0.3664392216325499,83,c7af761e0f90995b5a9a0827276f0512
27.0,91c0757c84405b71a49354f2193b53e0,25,7914,0.31589588071771546,92,c7af761e0f90995b5a9a0827276f0512
28.0,e7c5d11e0479dc188256163a35368d48,25,7914,0.31589588071771546,400,c7af761e0f90995b5a9a0827276f0512
29.0,694a10534bd055365d87958e132de9dc,25,7914,0.31589588071771546,547,c7af761e0f90995b5a9a0827276f0512
30.0,949507815d06969877dd4520c2e37cf8,22,7914,0.2779883750315896,20,c7af761e0f90995b5a9a0827276f0512
1.0,768c8145171a276365164af3bd2b94c3,1410,1709,82.50438853130484,5010,768c8145171a276365164af3bd2b94c3
2.0,f6c259579d9876137b7b68cc9aaf9300,81,1709,4.7396138092451725,845,768c8145171a276365164af3bd2b94c3
3.0,241c189090dfcfcca8569b3c450166c7,28,1709,1.6383850204798127,494,768c8145171a276365164af3bd2b94c3
1.0,60c751318f4cf2adf7c870a1cf2ce0e8,577,1628,35.442260442260434,2052,60c751318f4cf2adf7c870a1cf2ce0e8
2.0,0718603c176da086c69dc07966d46180,226,1628,13.882063882063882,2531,60c751318f4cf2adf7c870a1cf2ce0e8
3.0,bd3daa1b89b3c1e12d460b19bf2a9e10,102,1628,6.2653562653562656,1657,60c751318f4cf2adf7c870a1cf2ce0e8
4.0,d462d66b8042ad8af59c9b1ab7cffa1a,81,1628,4.975429975429975,1079,60c751318f4cf2adf7c870a1cf2ce0e8
5.0,4598896a47797f8bcb161aa4b3c9065f,68,1628,4.176904176904176,184,60c751318f4cf2adf7c870a1cf2ce0e8
6.0,ecd350325dde0a7dd19804fb422d01d2,26,1628,1.597051597051597,525,60c751318f4cf2adf7c870a1cf2ce0e8
7.0,421341f58cb2a4134854626f236a2179,25,1628,1.5356265356265355,243,60c751318f4cf2adf7c870a1cf2ce0e8
1.0,318fc95107fd4ff003a3167940091152,4121,5648,72.96388101983003,29574,318fc95107fd4ff003a3167940091152
2.0,1c2facd59cff30780a9061551a37737e,529,5648,9.36614730878187,9592,318fc95107fd4ff003a3167940091152
3.0,cc6f1f8154906f716b10c87135e7d3a8,150,5648,2.655807365439093,7993,318fc95107fd4ff003a3167940091152
4.0,7bf66fad923faccb45ed31c00eeb2e70,77,5648,1.363314447592068,1694,318fc95107fd4ff003a3167940091152
5.0,d570d7cf1bca056e3d202b615c4dc4f6,77,5648,1.363314447592068,2331,318fc95107fd4ff003a3167940091152
6.0,d02fe5ae9d34938a89bf00eb4b457152,45,5648,0.796742209631728,1197,318fc95107fd4ff003a3167940091152
7.0,8399687ce4901b4a49a55505236b82dd,32,5648,0.56657223796034,14,318fc95107fd4ff003a3167940091152
8.0,dea17c6deec48f262dd65ac1252b1006,23,5648,0.4072237960339943,245,318fc95107fd4ff003a3167940091152
9.0,9972f33ab08b919abf65b7c0f1e54d3e,16,5648,0.28328611898017,170,318fc95107fd4ff003a3167940091152
10.0,ed203594114ed504bbc4a3b8789c83a0,16,5648,0.28328611898017,5889,318fc95107fd4ff003a3167940091152
11.0,97ace88960dcdfe6a7f3ed8b7ab8e31c,13,5648,0.2301699716713881,1473,318fc95107fd4ff003a3167940091152
1.0,c7d207133d5343995b0e98e22a6edc7d,4190,4562,91.8456817185445,9525,c7d207133d5343995b0e98e22a6edc7d
2.0,212f84c0f37044e14a024901f3654065,33,4562,0.7233669443226655,392,c7d207133d5343995b0e98e22a6edc7d
3.0,86c85268c1f241da319535acffd94b71,16,4562,0.35072336694432266,82,c7d207133d5343995b0e98e22a6edc7d
4.0,bac10fd244e072e701c65c5fd70c0edb,10,4562,0.21920210434020165,1168,c7d207133d5343995b0e98e22a6edc7d
5.0,26fcf8890d9775ad5b3a8b759262ed43,10,4562,0.21920210434020165,402,c7d207133d5343995b0e98e22a6edc7d
1.0,03e1002b3e6a2a4d9d1f110232da0088,6494,6719,96.65128739395745,1370,03e1002b3e6a2a4d9d1f110232da0088
2.0,89a0c4635465c73958159086f5c83b6d,30,6719,0.4464950141390088,217,03e1002b3e6a2a4d9d1f110232da0088
3.0,6dabffddf1a37926c26224b0af79994a,16,6719,0.23813067420747136,168,03e1002b3e6a2a4d9d1f110232da0088
1.0,cf2a4b8fa6ffc9ca1f219fd19933f2cf,1476,4160,35.480769230769226,21,481936e8d71dd32f76ec019580652bed
1.0,76bff4a214153e162c98d7ff7d7f9e06,2500,4961,50.39306591413022,3918,76bff4a214153e162c98d7ff7d7f9e06
2.0,b672fadcb306797bbba44cae1ecf5765,364,4961,7.3372303970973585,2253,76bff4a214153e162c98d7ff7d7f9e06
