index,父微博用户ID,count,total,percent,followers,root
1.0,3e9e04cfa8924207ae0d0ced47cca7ba,3165,3324,95.21660649819496,2138,3e9e04cfa8924207ae0d0ced47cca7ba
1.0,58e0de5396d44f85c178d7e6f4114fdb,130,130,100.0,44,58e0de5396d44f85c178d7e6f4114fdb
1.0,59201a4cb94b46ae9ef8a16b9cdec55e,3641,4747,76.70107436275542,553,59201a4cb94b46ae9ef8a16b9cdec55e
2.0,51e76121da372c9271062baa298b8863,238,4747,5.013692858647566,1605,59201a4cb94b46ae9ef8a16b9cdec55e
3.0,d2ad3981f3c1bb2873101010c66d6d52,117,4747,2.464714556562039,1946,59201a4cb94b46ae9ef8a16b9cdec55e
4.0,2e59c64a49736a5b5647f41eec9be686,88,4747,1.853802401516748,128,59201a4cb94b46ae9ef8a16b9cdec55e
1.0,43a971db6364c4ed7cd101feca243600,4567,5038,90.6510520047638,31088,43a971db6364c4ed7cd101feca243600
2.0,5799ed2a9ddd61236fd4e42400f5f928,19,5038,0.3771337832473204,92,43a971db6364c4ed7cd101feca243600
1.0,14baec16e62afaf8aac187f828122d21,3243,6652,48.75225496091401,3027,14baec16e62afaf8aac187f828122d21
2.0,e44f5031859d309f3353d2874ffa7192,266,6652,3.998797354179194,2193,14baec16e62afaf8aac187f828122d21
3.0,e61671ae6229fd2e329abffb1fab99a3,207,6652,3.111846061334937,1999,14baec16e62afaf8aac187f828122d21
4.0,269514e3919489d4991aa60aa5b50574,171,6652,2.5706554419723378,1486,14baec16e62afaf8aac187f828122d21
5.0,0f5dd75fa2ed482523b629b5f83e4ac1,126,6652,1.8941671677690917,706,14baec16e62afaf8aac187f828122d21
6.0,06e1bebf7d92e41093c20917656f1eba,97,6652,1.4582080577269994,1742,14baec16e62afaf8aac187f828122d21
7.0,6f592f017deedd81889f8bff61c75db5,79,6652,1.1876127480457006,386,14baec16e62afaf8aac187f828122d21
8.0,87a1ff5a60a23251ce64abfa2374afc9,66,6652,0.9921828021647624,131,14baec16e62afaf8aac187f828122d21
9.0,32513335e97e6d5161b1115b5937827d,58,6652,0.8719182200841852,146,14baec16e62afaf8aac187f828122d21
10.0,cad59422d0843f756f7e04b0925dcb5b,54,6652,0.8117859290438966,41,14baec16e62afaf8aac187f828122d21
1.0,a8d101c2085a3ac58d9cb1029c7d6bc2,1229,2782,44.17685118619698,1564,a8d101c2085a3ac58d9cb1029c7d6bc2
2.0,6177f90a758e2e2daa117d9258e7bea1,179,2782,6.434219985621855,1477,a8d101c2085a3ac58d9cb1029c7d6bc2
3.0,3fc3e4ebf89566b4063e51b0c826a744,139,2782,4.996405463695184,988,a8d101c2085a3ac58d9cb1029c7d6bc2
4.0,030e7716671a76d35daef80682dc8766,115,2782,4.133716750539182,1155,a8d101c2085a3ac58d9cb1029c7d6bc2
5.0,eb2aad46255a5412a9754847c646d91e,98,2782,3.5226455787203457,430,a8d101c2085a3ac58d9cb1029c7d6bc2
